horse,tooth,repeated,previousdepth,extracted,hexarinse,treatment,improvement,days,truncated
id01,306/7,1,12,0,0,PVS,6,65,0
id01,307/8,1,12,0,0,PVS,4,65,0
id01,310/11,1,12,0,0,PVS,5,65,0
id01,406/7,1,10,0,0,PVS,6,65,0
id01,407/8,1,11,0,0,PVS,5,65,0
id01,410/11,1,12,0,0,PVS,6,65,0
id01,106/7,1,25,0,0,PVS,9,65,0
id01,107/8,1,25,0,0,PVS,9,65,0
id01,206/7,1,13,0,0,PVS,7,65,0
id01,207/8,1,18,0,0,PVS,6,65,0
id02,307/8,1,10,1,0,M,10,62,1
id02,308/9,1,10,1,0,M,10,62,1
id02,407/8,1,4,0,0,M,0,62,0
id02,408/9,1,9,0,0,M,4,62,0
id02,409/10,1,4,0,0,M,0,62,0
id02,309/10,1,0,0,0,None,-6,62,0
id02,306/7,1,0,0,0,None,0,62,1
id02,406/7,1,0,0,0,None,0,62,1
id02,307/8,2,0,1,1,None,0,83,1
id02,308/9,2,0,1,1,None,0,83,1
id02,407/8,2,4,0,1,CL,4,83,1
id02,408/9,2,5,0,1,CL,5,83,1
id02,409/10,2,4,0,1,CL,-4,83,0
id02,309/10,2,6,0,1,CL,6,83,1
id02,306/7,2,0,0,1,None,-4,83,0
id02,406/7,2,0,0,1,None,-4,83,0
id03,306/7,1,4,0,0,M,4,224,1
id03,406/7,1,4,0,0,M,4,224,1
id03,307/8,1,4,0,0,M,4,224,1
id03,310/11,1,8,0,0,M,2,224,0
id03,410/11,1,8,0,0,M,3,224,0
id03,208/9,1,0,0,0,None,-4,224,0
id03,308/9,1,0,0,0,None,-6,224,0
id04,307/8,1,9,0,0,M,3,120,0
id04,308/9,1,7,0,0,M,7,120,1
id04,407/8,1,6,0,0,M,6,120,1
id04,410/11,1,6,0,0,M,6,120,1
id04,207/8,1,0,0,0,None,-4,120,0
id04,406/7,1,0,0,0,None,-4,120,0
id04,306/7,1,0,0,0,None,0,120,1
id04,408/9,1,0,0,0,None,0,120,1
id04,409/10,1,0,0,0,None,0,120,1
id04,307/8,2,6,0,0,M,6,224,1
id04,308/9,2,0,0,0,None,0,224,1
id04,407/8,2,0,0,0,None,-5,224,0
id04,410/11,2,0,0,0,None,0,224,1
id04,207/8,2,4,0,0,M,4,224,1
id04,406/7,2,4,0,0,M,4,224,1
id04,306/7,2,0,0,0,None,-5,224,0
id04,408/9,2,0,0,0,None,-4,224,0
id04,409/10,2,0,0,0,None,-5,224,0
id05,306/7,1,4,0,0,CL,4,245,1
id05,307/8,1,5,0,0,M,5,245,1
id05,308/9,1,5,0,0,M,5,245,1
id05,309/10,1,4,0,0,CL,4,245,1
id05,310/11,1,4,0,0,CL,4,245,1
id05,406/7,1,4,0,0,CL,4,245,1
id05,407/8,1,4,0,0,CL,4,245,1
id05,408/9,1,6,0,0,M,6,245,1
id05,409/10,1,4,0,0,CL,4,245,1
id05,410/11,1,4,0,0,CL,4,245,1
id06,307/8,1,4,0,0,M,4,218,1
id06,308/9,1,8,0,0,M,2,218,0
id06,410/11,1,4,0,0,M,4,218,1
id06,309/10,1,0,0,0,None,-5,218,0
id06,408/9,1,0,0,0,None,-5,218,0
id07,307/8,1,6,0,0,M,6,183,1
id07,310/11,1,4,0,0,CL,4,183,1
id07,307/8,2,0,0,0,None,0,311,1
id07,310/11,2,0,0,0,None,0,311,1
id08,111/12,1,11,0,0,PVS,1,128,0
id08,306/7,1,4,0,0,CL,0,128,0
id08,407/8,1,4,0,0,CL,4,128,1
id08,208/9,1,0,0,0,None,-4,128,0
id08,209/10,1,0,0,0,None,-4,128,0
id09,106/7,1,8,0,0,PVS,3,20,0
id09,107/8,1,5,0,0,CL,1,20,0
id09,110/11,1,6,0,0,CL,6,20,1
id09,207/8,1,5,0,0,CL,5,20,1
id09,306/7,1,8,0,0,PVS,2,20,0
id09,307/8,1,8,0,0,PVS,2,20,0
id09,308/9,1,11,0,0,PVS,3,20,0
id09,309/10,1,13,0,0,PVS,1,20,0
id09,310/11,1,8,0,0,PVS,8,20,1
id09,406/7,1,8,0,0,PVS,8,20,1
id09,407/8,1,8,1,0,PVS,0,20,0
id09,408/9,1,11,1,0,PVS,-5,20,0
id09,409/10,1,12,0,0,PVS,0,20,0
id09,410/11,1,4,0,0,None,-4,20,0
id09,106/7,2,5,0,0,PVS,5,22,1
id09,107/8,2,4,0,0,CL,4,22,1
id09,110/11,2,0,0,0,None,0,22,1
id09,207/8,2,0,0,0,None,0,22,1
id09,306/7,2,6,0,0,PVS,6,22,1
id09,307/8,2,6,0,0,PVS,2,22,0
id09,308/9,2,8,0,0,PVS,3,22,0
id09,309/10,2,12,0,0,DW,3,22,0
id09,310/11,2,0,0,0,None,-5,22,0
id09,406/7,2,0,0,0,None,0,22,1
id09,407/8,2,8,1,0,None,8,22,1
id09,408/9,2,16,1,0,None,16,22,1
id09,409/10,2,12,0,0,DW,4,22,0
id09,410/11,2,8,0,0,PVS,3,22,0
id10,107/8,1,11,0,0,M,-1,176,0
id10,108/9,1,8,0,0,M,3,176,0
